+OT(min),Kdlmn(Km),PhaseCount,Mag,MagCount
0.154923502,0.01076716,0.076923077,0.068119891,0.102564103
0.15496664,0.01076716,0.076923077,0.114441417,0.102564103
0.690987001,0.01076716,0.076923077,0.114441417,0.102564103
0.011100886,0.00269179,0.205128205,0.615803815,0.256410256
0.814477166,0.00269179,0.230769231,0.602179837,0.256410256
0.814477166,0.00269179,0.230769231,0.615803815,0.256410256
0.814577821,0.00269179,0.230769231,0.602179837,0.256410256
0.814865409,0.00269179,0.230769231,0.602179837,0.256410256
0.814865409,0.00269179,0.230769231,0.602179837,0.256410256
0.005780513,0.094212651,0.115384615,0.847411444,0.205128205
0.006068101,0.106325707,0.128205128,0.869209809,0.179487179
0.006398827,0.106325707,0.128205128,0.861035422,0.179487179
0.006398827,0.098250336,0.141025641,0.844686649,0.205128205
0.006528241,0.098250336,0.141025641,0.85013624,0.205128205
0.006643276,0.084791386,0.166666667,0.844686649,0.205128205
0.007002761,0.084791386,0.166666667,0.858310627,0.205128205
0.007319107,0.084791386,0.166666667,0.861035422,0.205128205
0.007319107,0.094212651,0.205128205,0.863760218,0.205128205
0.007362245,0.094212651,0.205128205,0.858310627,0.205128205
0.980875417,0.086137281,0.179487179,0.760217984,0.179487179
0.980875417,0.086137281,0.179487179,0.825613079,0.205128205
0.981163005,0.086137281,0.179487179,0.866485014,0.051282051
0.981393075,0.086137281,0.179487179,0.866485014,0.051282051
0.981393075,0.086137281,0.179487179,0.866485014,0.051282051
0.008541355,0.146702557,0.153846154,0.365122616,0.076923077
0.008541355,0.146702557,0.153846154,0.365122616,0.076923077
0.999683654,0.146702557,0.217948718,0.373297003,0.153846154
0.999683654,0.146702557,0.217948718,0.373297003,0.153846154
0.999726792,0.146702557,0.217948718,0.373297003,0.153846154
1,0.146702557,0.217948718,0.373297003,0.153846154
1,0.146702557,0.217948718,0.373297003,0.153846154
0.005018406,0.01345895,0.166666667,0.228882834,0.076923077
0.00632693,0.020188425,0.128205128,0.46866485,0.051282051
0.00632693,0.020188425,0.128205128,0.46866485,0.051282051
0.141766364,0.127860027,0.115384615,0.117166213,0.076923077
0.141766364,0.127860027,0.115384615,0.117166213,0.076923077
0.024718164,1,0.794871795,1,0.076923077
0.00444323,0.009421265,0.179487179,0.286103542,0.153846154
0.00444323,0.009421265,0.179487179,0.286103542,0.153846154
0.451181986,0.009421265,0.307692308,0.288828338,0.153846154
0.451181986,0.009421265,0.307692308,0.288828338,0.153846154
0.451282641,0.009421265,0.307692308,0.302452316,0.153846154
0.006398827,0.200538358,0.384615385,0.313351499,0.256410256
0.006398827,0.200538358,0.384615385,0.351498638,0.256410256
0.503235362,0.199192463,0.58974359,0.329700272,0.358974359
0.503235362,0.199192463,0.58974359,0.329700272,0.358974359
0.503307259,0.199192463,0.58974359,0.329700272,0.358974359
0.000215691,0.009421265,0.08974359,0.444141689,0.205128205
0.000287588,0.009421265,0.08974359,0.446866485,0.205128205
0.000488899,0.009421265,0.08974359,0.452316076,0.205128205
0.000488899,0.009421265,0.128205128,0.452316076,0.282051282
0.000632693,0.009421265,0.128205128,0.452316076,0.282051282
0.000718969,0.009421265,0.128205128,0.455040872,0.282051282
0.000718969,0.009421265,0.166666667,0.460490463,0.358974359
0.000862763,0.009421265,0.166666667,0.465940054,0.358974359
0.000992178,0.009421265,0.166666667,0.465940054,0.358974359
0.000992178,0.009421265,0.205128205,0.509536785,0.384615385
0.001107213,0.009421265,0.205128205,0.51226158,0.384615385
0.001222248,0.009421265,0.205128205,0.514986376,0.384615385
